year,month,state,rto,vehicle_class,fuel,value,unit,note
2022,July,Chandigarh,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),113,value in Absolute Number,
2017,February,Maharashtra,All Vahan Running Office,MOTOR CAR,CNG ONLY,4,value in Absolute Number,
2024,September,Rajasthan,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,7,value in Absolute Number,
2024,December,Gujarat,All Vahan Running Office,HARVESTER,DIESEL,14,value in Absolute Number,
2022,February,Uttar Pradesh,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,77,value in Absolute Number,
2014,August,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,45,value in Absolute Number,
2024,August,Karnataka,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,21,value in Absolute Number,
2023,December,Jammu and Kashmir,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1,value in Absolute Number,
2018,February,Gujarat,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/CNG,1,value in Absolute Number,
2022,May,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),10,value in Absolute Number,
2015,April,Haryana,All Vahan Running Office,MOTOR CAR,PETROL/LPG,69,value in Absolute Number,
2018,July,Rajasthan,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,7057,value in Absolute Number,
2019,December,Karnataka,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,1,value in Absolute Number,
2024,July,Delhi,All Vahan Running Office,MOPED,PETROL,12,value in Absolute Number,
2017,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,DIESEL,20,value in Absolute Number,
2016,September,Punjab,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,1,value in Absolute Number,
2019,April,Uttarakhand,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,34,value in Absolute Number,
2022,August,Meghalaya,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,1,value in Absolute Number,
2017,September,Andhra Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,870,value in Absolute Number,
2016,February,Gujarat,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,19,value in Absolute Number,
2020,July,Karnataka,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),21,value in Absolute Number,
2019,September,Punjab,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,141,value in Absolute Number,
2018,March,Gujarat,All Vahan Running Office,MOTOR CAB,PETROL/CNG,340,value in Absolute Number,
2018,December,Rajasthan,All Vahan Running Office,MOPED,ELECTRIC(BOV),70,value in Absolute Number,
2025,February,Kerala,All Vahan Running Office,MOTOR CAR,PETROL,7982,value in Absolute Number,
2023,December,Tamil Nadu,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,1,value in Absolute Number,
2019,January,Jammu and Kashmir,All Vahan Running Office,MAXI CAB,DIESEL,38,value in Absolute Number,
2017,July,Tamil Nadu,All Vahan Running Office,MOTOR CAR,PETROL,7690,value in Absolute Number,
2023,September,Chhattisgarh,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),632,value in Absolute Number,
2023,August,Uttarakhand,All Vahan Running Office,AMBULANCE,DIESEL,11,value in Absolute Number,
2024,February,Andhra Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/HYBRID,7,value in Absolute Number,
2017,March,West Bengal,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,335,value in Absolute Number,
2015,April,Uttar Pradesh,All Vahan Running Office,GOODS CARRIER,CNG ONLY,30,value in Absolute Number,
2014,April,Kerala,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,12,value in Absolute Number,
2023,July,Karnataka,All Vahan Running Office,EXCAVATOR (NT),DIESEL,2,value in Absolute Number,
2016,July,Odisha,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,37457,value in Absolute Number,
2018,October,Assam,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,8,value in Absolute Number,
2015,March,Karnataka,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,2,value in Absolute Number,
2014,December,Rajasthan,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,290,value in Absolute Number,
2023,January,Chhattisgarh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/HYBRID,2,value in Absolute Number,
2015,September,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL,2,value in Absolute Number,
2017,April,Gujarat,All Vahan Running Office,MOTOR CAB,DIESEL,234,value in Absolute Number,
2017,May,West Bengal,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,111,value in Absolute Number,
2017,August,Haryana,All Vahan Running Office,AGRICULTURAL TRACTOR,PETROL/CNG,1,value in Absolute Number,
