year,month,state,rto,vehicle_class,fuel,value,unit,note
2014,August,Andhra Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,1,value in Absolute Number,
2020,August,Maharashtra,All Vahan Running Office,FORK LIFT,DIESEL,3,value in Absolute Number,
2021,March,Lakshadweep,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,1,value in Absolute Number,
2016,April,Odisha,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,2,value in Absolute Number,
2018,October,Jharkhand,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,33129,value in Absolute Number,
2025,February,Bihar,All Vahan Running Office,MAXI CAB,PETROL,19,value in Absolute Number,
2017,December,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL,244,value in Absolute Number,
2018,October,Maharashtra,All Vahan Running Office,TOW TRUCK,DIESEL,5,value in Absolute Number,
2016,October,Haryana,All Vahan Running Office,MAXI CAB,DIESEL,6,value in Absolute Number,
2023,June,Jharkhand,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),34,value in Absolute Number,
2015,March,Tamil Nadu,All Vahan Running Office,MOTOR CYCLE/SCOOTER-SIDECAR(T),PETROL,1,value in Absolute Number,
2020,October,Uttarakhand,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,2,value in Absolute Number,
2020,May,Maharashtra,All Vahan Running Office,MOTOR CAR,PETROL/CNG,373,value in Absolute Number,
2016,August,Maharashtra,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/CNG,1,value in Absolute Number,
2019,May,Rajasthan,All Vahan Running Office,GOODS CARRIER,CNG ONLY,14,value in Absolute Number,
2022,October,Bihar,All Vahan Running Office,MOPED,PETROL,1650,value in Absolute Number,
2015,February,West Bengal,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,261,value in Absolute Number,
2023,May,Chhattisgarh,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,1,value in Absolute Number,
2014,December,Tamil Nadu,All Vahan Running Office,MOTOR CAR,LPG ONLY,3,value in Absolute Number,
2017,November,Karnataka,All Vahan Running Office,PRIVATE SERVICE VEHICLE,PETROL,24,value in Absolute Number,
2023,April,Kerala,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,1,value in Absolute Number,
2018,September,Delhi,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/CNG,175,value in Absolute Number,
2017,March,Himachal Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,27,value in Absolute Number,
2020,February,Sikkim,All Vahan Running Office,GOODS CARRIER,DIESEL,63,value in Absolute Number,
2024,August,Karnataka,All Vahan Running Office,TOWER WAGON,DIESEL,1,value in Absolute Number,
2016,August,Chhattisgarh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/LPG,1,value in Absolute Number,
2015,December,Puducherry,All Vahan Running Office,MOTOR CAR,PETROL,195,value in Absolute Number,
2017,March,Chhattisgarh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,ELECTRIC(BOV),10,value in Absolute Number,
2022,November,West Bengal,All Vahan Running Office,MOTOR CAR,PETROL,7664,value in Absolute Number,
2025,February,Sikkim,All Vahan Running Office,LUXURY CAB,PETROL/HYBRID,1,value in Absolute Number,
2023,September,Meghalaya,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL,2,value in Absolute Number,
2016,August,Jammu and Kashmir,All Vahan Running Office,MOTOR CAR,PETROL/LPG,1,value in Absolute Number,
2014,January,Tamil Nadu,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,1,value in Absolute Number,
2022,October,Uttar Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,247170,value in Absolute Number,
2020,August,Jammu and Kashmir,All Vahan Running Office,GOODS CARRIER,PETROL,9,value in Absolute Number,
2023,November,Delhi,All Vahan Running Office,GOODS CARRIER,DIESEL,43,value in Absolute Number,
2014,January,Manipur,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,2,value in Absolute Number,
2017,May,Karnataka,All Vahan Running Office,LUXURY CAB,DIESEL,2,value in Absolute Number,
2016,April,Chhattisgarh,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,7,value in Absolute Number,
2024,April,Odisha,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,1,value in Absolute Number,
2017,August,Haryana,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,17,value in Absolute Number,
2024,February,Uttarakhand,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,73,value in Absolute Number,
2015,March,Maharashtra,All Vahan Running Office,OMNI BUS,DIESEL,2,value in Absolute Number,
2014,June,Uttar Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,1,value in Absolute Number,
2014,April,Gujarat,All Vahan Running Office,GOODS CARRIER,NOT APPLICABLE,9,value in Absolute Number,
2014,November,Punjab,All Vahan Running Office,AMBULANCE,DIESEL,4,value in Absolute Number,
2016,November,Karnataka,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/LPG,10,value in Absolute Number,
2024,March,Andhra Pradesh,All Vahan Running Office,LUXURY CAB,PETROL,4,value in Absolute Number,
2018,May,Punjab,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,45,value in Absolute Number,
2020,September,Jharkhand,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,26493,value in Absolute Number,
2019,October,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,NOT APPLICABLE,1,value in Absolute Number,
2015,July,Delhi,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,3,value in Absolute Number,
2023,October,Karnataka,All Vahan Running Office,MOBILE CLINIC,DIESEL,1,value in Absolute Number,
2016,July,Puducherry,All Vahan Running Office,M-CYCLE/SCOOTER,DIESEL,4,value in Absolute Number,
2022,April,Uttarakhand,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,176,value in Absolute Number,
2015,November,Punjab,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,305,value in Absolute Number,
2018,June,Arunachal Pradesh,All Vahan Running Office,MAXI CAB,PETROL,1,value in Absolute Number,
2014,March,Gujarat,All Vahan Running Office,MAXI CAB,DIESEL,182,value in Absolute Number,
2023,August,Himachal Pradesh,All Vahan Running Office,MOPED,PETROL/ETHANOL,13,value in Absolute Number,
2017,May,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,345,value in Absolute Number,
2019,July,Maharashtra,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,128,value in Absolute Number,
2019,September,Assam,All Vahan Running Office,THREE WHEELER (GOODS),PETROL,1,value in Absolute Number,
2022,December,Jammu and Kashmir,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,308,value in Absolute Number,
2021,October,Maharashtra,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,8,value in Absolute Number,
2018,September,Karnataka,All Vahan Running Office,MOTOR CAR,PETROL/LPG,94,value in Absolute Number,
2016,May,Maharashtra,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,1,value in Absolute Number,
2014,January,Kerala,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),PETROL/LPG,3,value in Absolute Number,
2020,September,Uttar Pradesh,All Vahan Running Office,AMBULANCE,PETROL,5,value in Absolute Number,
2016,March,Karnataka,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL,3,value in Absolute Number,
2018,May,Madhya Pradesh,All Vahan Running Office,MOPED,PETROL,2067,value in Absolute Number,
2024,February,Rajasthan,All Vahan Running Office,OMNI BUS,PETROL,3,value in Absolute Number,
2014,February,Jharkhand,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,51,value in Absolute Number,
2023,November,Odisha,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,418,value in Absolute Number,
2021,January,Haryana,All Vahan Running Office,GOODS CARRIER,PETROL,63,value in Absolute Number,
2024,January,Assam,All Vahan Running Office,THREE WHEELER (GOODS),PETROL,10,value in Absolute Number,
2020,December,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),ELECTRIC(BOV),1,value in Absolute Number,
2021,December,Assam,All Vahan Running Office,MAXI CAB,DIESEL,16,value in Absolute Number,
2015,June,Rajasthan,All Vahan Running Office,MAXI CAB,PETROL,6,value in Absolute Number,
2024,July,Kerala,All Vahan Running Office,THREE WHEELER (PERSONAL),CNG ONLY,11,value in Absolute Number,
2021,May,Odisha,All Vahan Running Office,MOTOR CAR,PETROL,515,value in Absolute Number,
2020,August,Punjab,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1945,value in Absolute Number,
2021,October,Tripura,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,35,value in Absolute Number,
2014,August,Uttarakhand,All Vahan Running Office,ANIMAL AMBULANCE,DIESEL,1,value in Absolute Number,
2019,March,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/LPG,140,value in Absolute Number,
2023,June,Assam,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1,value in Absolute Number,
2014,April,Nagaland,All Vahan Running Office,MAXI CAB,DIESEL,2,value in Absolute Number,
2025,January,Madhya Pradesh,All Vahan Running Office,GOODS CARRIER,PURE EV,4,value in Absolute Number,
2017,December,Meghalaya,All Vahan Running Office,MAXI CAB,DIESEL,12,value in Absolute Number,
2015,July,Tripura,All Vahan Running Office,MOTOR CAB,PETROL,2,value in Absolute Number,
2023,September,Kerala,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL/HYBRID,1,value in Absolute Number,
2024,November,Tripura,All Vahan Running Office,MOTOR CAB,PETROL/CNG,6,value in Absolute Number,
2021,December,Haryana,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,443,value in Absolute Number,
2016,December,Andhra Pradesh,All Vahan Running Office,MOBILE CLINIC,DIESEL,2,value in Absolute Number,
2015,April,Kerala,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,5,value in Absolute Number,
2019,January,Uttar Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL/HYBRID,1,value in Absolute Number,
2019,June,Meghalaya,All Vahan Running Office,MOTOR CAB,PETROL,127,value in Absolute Number,
2016,November,Meghalaya,All Vahan Running Office,MOTOR CAR,PETROL,526,value in Absolute Number,
2023,July,Punjab,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,473,value in Absolute Number,
2014,May,Bihar,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,1,value in Absolute Number,
2023,January,Punjab,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,1,value in Absolute Number,
2018,October,Manipur,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,2,value in Absolute Number,
2016,February,Andhra Pradesh,All Vahan Running Office,AMBULANCE,DIESEL,12,value in Absolute Number,
2014,July,Arunachal Pradesh,All Vahan Running Office,BUS,DIESEL,15,value in Absolute Number,
2025,February,Tamil Nadu,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),DIESEL,4,value in Absolute Number,
2021,November,Tripura,All Vahan Running Office,GOODS CARRIER,CNG ONLY,8,value in Absolute Number,
2017,October,Bihar,All Vahan Running Office,MOTOR CYCLE/SCOOTER-SIDECAR(T),PETROL,1,value in Absolute Number,
2022,August,Odisha,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,26,value in Absolute Number,
2025,January,Jammu and Kashmir,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),3,value in Absolute Number,
2023,August,Jharkhand,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL,1,value in Absolute Number,
2021,March,Sikkim,All Vahan Running Office,MOTOR CAR,PETROL,253,value in Absolute Number,
2019,September,Arunachal Pradesh,All Vahan Running Office,TOW TRUCK,NOT APPLICABLE,1,value in Absolute Number,
2021,March,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,76741,value in Absolute Number,
2014,March,Chandigarh,All Vahan Running Office,MOPED,PETROL,3,value in Absolute Number,
2023,September,Chhattisgarh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,617,value in Absolute Number,
2023,November,Haryana,All Vahan Running Office,MOTOR CAB,DIESEL,152,value in Absolute Number,
2022,February,Chhattisgarh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,4,value in Absolute Number,
2017,June,West Bengal,All Vahan Running Office,CAMPER VAN / TRAILER,NOT APPLICABLE,1,value in Absolute Number,
2020,September,Chhattisgarh,All Vahan Running Office,FIRE TENDERS,DIESEL,1,value in Absolute Number,
2020,January,Haryana,All Vahan Running Office,AMBULANCE,DIESEL,18,value in Absolute Number,
2022,July,Gujarat,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,402,value in Absolute Number,
2021,February,Jharkhand,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,1,value in Absolute Number,
2024,January,Himachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,1,value in Absolute Number,
2024,May,Ladakh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,25,value in Absolute Number,
2016,February,Himachal Pradesh,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,104,value in Absolute Number,
2015,September,Arunachal Pradesh,All Vahan Running Office,EXCAVATOR (NT),NOT APPLICABLE,12,value in Absolute Number,
2018,November,Gujarat,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),2,value in Absolute Number,
2024,May,Rajasthan,All Vahan Running Office,MOTOR CAB,DIESEL,198,value in Absolute Number,
2022,January,Madhya Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,226,value in Absolute Number,
2021,July,Odisha,All Vahan Running Office,MOTOR CAR,PETROL/LPG,1,value in Absolute Number,
2020,March,Chhattisgarh,All Vahan Running Office,AMBULANCE,PETROL,7,value in Absolute Number,
2020,October,Chandigarh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,1,value in Absolute Number,
2014,October,Punjab,All Vahan Running Office,MOPED,PETROL,182,value in Absolute Number,
2018,August,Manipur,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,4,value in Absolute Number,
2014,July,West Bengal,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1,value in Absolute Number,
2019,May,Jammu and Kashmir,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,54,value in Absolute Number,
2017,January,Madhya Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,4029,value in Absolute Number,
2017,May,Karnataka,All Vahan Running Office,TRAILER (AGRICULTURAL),PETROL,91,value in Absolute Number,
2023,July,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MAXI CAB,DIESEL,1,value in Absolute Number,
2022,May,Chandigarh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,1,value in Absolute Number,
2022,October,Tripura,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,3407,value in Absolute Number,
2016,January,Jharkhand,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,1022,value in Absolute Number,
2024,August,Mizoram,All Vahan Running Office,GOODS CARRIER,PETROL,10,value in Absolute Number,
2017,September,Karnataka,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,3,value in Absolute Number,
2022,September,Karnataka,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,1,value in Absolute Number,
2021,January,Rajasthan,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,8006,value in Absolute Number,
2016,March,Karnataka,All Vahan Running Office,M-CYCLE/SCOOTER,SOLAR,6,value in Absolute Number,
2016,November,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/LPG,7,value in Absolute Number,
2016,August,Punjab,All Vahan Running Office,MOTOR CAR,DIESEL,5523,value in Absolute Number,
2014,November,Karnataka,All Vahan Running Office,TRAILER (AGRICULTURAL),PETROL,12,value in Absolute Number,
2020,September,Ladakh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,4,value in Absolute Number,
2017,February,Maharashtra,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,1,value in Absolute Number,
2021,July,Karnataka,All Vahan Running Office,MOTOR CAB,PETROL/LPG,9,value in Absolute Number,
2018,November,Rajasthan,All Vahan Running Office,ADAPTED VEHICLE,PETROL,18,value in Absolute Number,
2018,March,Arunachal Pradesh,All Vahan Running Office,MOTOR CAB,NOT APPLICABLE,3,value in Absolute Number,
2021,May,Andhra Pradesh,All Vahan Running Office,ROAD ROLLER,DIESEL,1,value in Absolute Number,
2020,July,Karnataka,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/HYBRID,13,value in Absolute Number,
2023,April,Haryana,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,5,value in Absolute Number,
2024,August,Assam,All Vahan Running Office,MOTOR CAB,PETROL/CNG,3,value in Absolute Number,
2017,October,Jammu and Kashmir,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,264,value in Absolute Number,
2022,March,Tripura,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,3484,value in Absolute Number,
2020,June,Chhattisgarh,All Vahan Running Office,AMBULANCE,PETROL,7,value in Absolute Number,
2020,September,Jammu and Kashmir,All Vahan Running Office,MOPED,PETROL,6146,value in Absolute Number,
2018,May,Maharashtra,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,46,value in Absolute Number,
2019,February,Maharashtra,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,127,value in Absolute Number,
2020,August,Gujarat,All Vahan Running Office,FORK LIFT,LPG ONLY,1,value in Absolute Number,
2014,February,Uttarakhand,All Vahan Running Office,MOTOR CAR,PETROL,1495,value in Absolute Number,
2017,March,West Bengal,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,16,value in Absolute Number,
2024,June,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,880,value in Absolute Number,
2025,January,Chhattisgarh,All Vahan Running Office,MOTOR CAB,PURE EV,2,value in Absolute Number,
2019,October,Rajasthan,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),1,value in Absolute Number,
2022,May,Rajasthan,All Vahan Running Office,ROAD ROLLER,DIESEL,4,value in Absolute Number,
2016,April,Haryana,All Vahan Running Office,AMBULANCE,PETROL,15,value in Absolute Number,
2017,January,Odisha,All Vahan Running Office,MOTOR CAB,DIESEL,138,value in Absolute Number,
2022,January,Puducherry,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,3,value in Absolute Number,
2022,July,Bihar,All Vahan Running Office,HARVESTER,DIESEL,22,value in Absolute Number,
2018,March,Puducherry,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,5,value in Absolute Number,
2024,March,West Bengal,All Vahan Running Office,GOODS CARRIER,DIESEL,2120,value in Absolute Number,
2018,August,Andhra Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1337,value in Absolute Number,
2023,May,West Bengal,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),2,value in Absolute Number,
2024,August,Arunachal Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,30,value in Absolute Number,
2018,September,West Bengal,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,36,value in Absolute Number,
2019,July,Uttar Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,1884,value in Absolute Number,
2023,November,Odisha,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,1,value in Absolute Number,
2019,July,West Bengal,All Vahan Running Office,MOTOR CAR,PETROL/CNG,2,value in Absolute Number,
2017,January,Tripura,All Vahan Running Office,MOTOR CAB,CNG ONLY,4,value in Absolute Number,
2021,December,Haryana,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),1,value in Absolute Number,
2024,September,Chhattisgarh,All Vahan Running Office,FORK LIFT,DIESEL,1,value in Absolute Number,
2018,January,West Bengal,All Vahan Running Office,LUXURY CAB,DIESEL/HYBRID,7,value in Absolute Number,
2017,April,Arunachal Pradesh,All Vahan Running Office,GOODS CARRIER,NOT APPLICABLE,9,value in Absolute Number,
2019,November,Gujarat,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),1,value in Absolute Number,
2024,October,Gujarat,All Vahan Running Office,MOTOR CAR,DIESEL,10941,value in Absolute Number,
2020,May,Uttar Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,92,value in Absolute Number,
2022,September,Puducherry,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,5,value in Absolute Number,
2023,February,Uttarakhand,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,288,value in Absolute Number,
2019,July,Himachal Pradesh,All Vahan Running Office,OMNI BUS,DIESEL,5,value in Absolute Number,
2019,April,Ladakh,All Vahan Running Office,GOODS CARRIER,DIESEL,17,value in Absolute Number,
2021,March,Bihar,All Vahan Running Office,AMBULANCE,PETROL,1,value in Absolute Number,
2020,October,Kerala,All Vahan Running Office,THREE WHEELER (PERSONAL),ELECTRIC(BOV),5,value in Absolute Number,
2020,October,Sikkim,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,1,value in Absolute Number,
2018,June,Kerala,All Vahan Running Office,MOBILE CLINIC,DIESEL,1,value in Absolute Number,
2019,May,Chhattisgarh,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),110,value in Absolute Number,
2024,January,Gujarat,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,23,value in Absolute Number,
2016,October,Nagaland,All Vahan Running Office,MOPED,PETROL,6,value in Absolute Number,
2015,November,Himachal Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,2,value in Absolute Number,
2016,September,Goa,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,74,value in Absolute Number,
2024,July,Bihar,All Vahan Running Office,BUS,DIESEL,137,value in Absolute Number,
2017,January,Uttar Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,27,value in Absolute Number,
2014,July,Goa,All Vahan Running Office,MOTOR CAR,PETROL/CNG,4,value in Absolute Number,
2014,March,Kerala,All Vahan Running Office,BUS,PETROL,1,value in Absolute Number,
2020,April,Odisha,All Vahan Running Office,MOTOR CAB,DIESEL,3,value in Absolute Number,
2017,April,Andhra Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,914,value in Absolute Number,
2016,November,Jharkhand,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),4,value in Absolute Number,
2020,January,Jammu and Kashmir,All Vahan Running Office,CASH VAN,DIESEL,1,value in Absolute Number,
2018,January,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,PETROL,13,value in Absolute Number,
2020,June,Uttar Pradesh,All Vahan Running Office,MAXI CAB,PETROL/CNG,1,value in Absolute Number,
2019,November,Rajasthan,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,429,value in Absolute Number,
2015,May,Karnataka,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/LPG,6,value in Absolute Number,
2018,August,West Bengal,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),DIESEL,1,value in Absolute Number,
2016,May,Odisha,All Vahan Running Office,MAXI CAB,DIESEL,245,value in Absolute Number,
2014,May,Manipur,All Vahan Running Office,MOTOR CAR,PETROL,399,value in Absolute Number,
2014,October,Odisha,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,492,value in Absolute Number,
2015,November,Uttarakhand,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1,value in Absolute Number,
2018,April,Kerala,All Vahan Running Office,M-CYCLE/SCOOTER,DIESEL,3,value in Absolute Number,
2014,November,Tamil Nadu,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,2,value in Absolute Number,
2014,June,Nagaland,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,4,value in Absolute Number,
2014,November,Uttar Pradesh,All Vahan Running Office,DUMPER,DIESEL,7,value in Absolute Number,
2021,April,Jharkhand,All Vahan Running Office,MAXI CAB,PETROL,1,value in Absolute Number,
2024,August,Goa,All Vahan Running Office,MOTOR CAR,DIESEL,200,value in Absolute Number,
2015,April,Andaman and Nicobar Islands,All Vahan Running Office,MOPED,PETROL,85,value in Absolute Number,
2021,September,Karnataka,All Vahan Running Office,ADAPTED VEHICLE,CNG ONLY,1,value in Absolute Number,
2022,February,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,2,value in Absolute Number,
2016,September,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,1373,value in Absolute Number,
2016,February,Arunachal Pradesh,All Vahan Running Office,THREE WHEELER (PERSONAL),NOT APPLICABLE,11,value in Absolute Number,
2022,January,Maharashtra,All Vahan Running Office,MOTOR CAR,DIESEL,6174,value in Absolute Number,
2024,May,Meghalaya,All Vahan Running Office,GOODS CARRIER,PETROL,54,value in Absolute Number,
2022,February,Punjab,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,1,value in Absolute Number,
2016,June,Tamil Nadu,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,24,value in Absolute Number,
2017,November,Arunachal Pradesh,All Vahan Running Office,BUS,DIESEL,18,value in Absolute Number,
2014,May,Chhattisgarh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL,62,value in Absolute Number,
2023,February,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1,value in Absolute Number,
2016,March,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),DIESEL,4,value in Absolute Number,
2024,June,Maharashtra,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,1,value in Absolute Number,
2017,April,Maharashtra,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,10,value in Absolute Number,
2024,September,Jharkhand,All Vahan Running Office,THREE WHEELER (GOODS),PURE EV,1,value in Absolute Number,
2018,April,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/CNG,1,value in Absolute Number,
2024,November,Chhattisgarh,All Vahan Running Office,MAXI CAB,DIESEL,29,value in Absolute Number,
2023,June,Chhattisgarh,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,434,value in Absolute Number,
2016,April,Rajasthan,All Vahan Running Office,MAXI CAB,NOT APPLICABLE,2,value in Absolute Number,
2024,January,Rajasthan,All Vahan Running Office,BUS,ELECTRIC(BOV),1,value in Absolute Number,
2021,March,Jharkhand,All Vahan Running Office,EXCAVATOR (NT),DIESEL,1,value in Absolute Number,
2022,November,Tamil Nadu,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,143,value in Absolute Number,
2021,November,Madhya Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL/LPG,9,value in Absolute Number,
2018,January,Nagaland,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,6,value in Absolute Number,
2024,May,Delhi,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,1304,value in Absolute Number,
2024,January,Meghalaya,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,411,value in Absolute Number,
